timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/12 02:12:15.851, 3, 15162, 96, 1590, 9501, 261.33, 75, 0x0000000000000024
2026/09/12 02:12:15.852, 4, 1, 0, 210, 405, 24.13, 36, 0x0000000000000004
2026/09/12 02:12:15.852, 5, 1, 0, 210, 405, 22.26, 36, 0x0000000000000001
2026/09/12 02:12:16.352, 0, 1, 0, 210, 405, 22.19, 36, 0x0000000000000001
2026/09/12 02:12:16.352, 1, 4, 0, 210, 405, 19.37, 39, 0x0000000000000001
2026/09/12 02:12:16.353, 2, 1, 0, 210, 405, 21.41, 36, 0x0000000000000001
2026/09/12 02:12:16.353, 3, 15162, 97, 1560, 9501, 267.90, 75, 0x0000000000000020
2026/09/12 02:12:16.353, 4, 1, 0, 210, 405, 24.43, 36, 0x0000000000000001
2026/09/12 02:12:16.353, 5, 1, 0, 210, 405, 22.18, 36, 0x0000000000000001
2026/09/12 02:12:16.853, 0, 1, 0, 210, 405, 22.29, 36, 0x0000000000000001
2026/09/12 02:12:16.854, 1, 4, 0, 210, 405, 19.32, 39, 0x0000000000000001
2026/09/12 02:12:16.854, 2, 1, 0, 210, 405, 21.41, 36, 0x0000000000000001
2026/09/12 02:12:16.854, 3, 15162, 95, 1560, 9501, 278.72, 75, 0x0000000000000020
2026/09/12 02:12:16.854, 4, 1, 0, 210, 405, 24.43, 36, 0x0000000000000001
2026/09/12 02:12:16.854, 5, 1, 0, 210, 405, 22.18, 36, 0x0000000000000001
2026/09/12 02:12:17.355, 0, 1, 0, 210, 405, 22.29, 36, 0x0000000000000001
2026/09/12 02:12:17.355, 1, 4, 0, 210, 405, 19.32, 39, 0x0000000000000001
2026/09/12 02:12:17.355, 2, 1, 0, 210, 405, 21.38, 36, 0x0000000000000001
2026/09/12 02:12:17.355, 3, 15162, 84, 1590, 9501, 274.23, 75, 0x0000000000000020
2026/09/12 02:12:17.356, 4, 1, 0, 210, 405, 24.26, 36, 0x0000000000000004
2026/09/12 02:12:17.356, 5, 1, 0, 210, 405, 22.08, 36, 0x0000000000000001
2026/09/12 02:12:17.856, 0, 1, 0, 210, 405, 22.57, 36, 0x0000000000000001
2026/09/12 02:12:17.856, 1, 4, 0, 210, 405, 19.36, 38, 0x0000000000000001
2026/09/12 02:12:17.857, 2, 1, 0, 210, 405, 21.38, 36, 0x0000000000000001
2026/09/12 02:12:17.857, 3, 15162, 96, 1575, 9501, 276.36, 75, 0x0000000000000020
2026/09/12 02:12:17.857, 4, 1, 0, 210, 405, 24.26, 36, 0x0000000000000004
2026/09/12 02:12:17.857, 5, 1, 0, 210, 405, 22.08, 36, 0x0000000000000001
2026/09/12 02:12:18.358, 0, 1, 0, 210, 405, 22.57, 36, 0x0000000000000001
2026/09/12 02:12:18.358, 1, 4, 0, 210, 405, 19.36, 38, 0x0000000000000001
2026/09/12 02:12:18.358, 2, 1, 0, 210, 405, 21.39, 36, 0x0000000000000001
2026/09/12 02:12:18.358, 3, 15162, 55, 1890, 9501, 274.69, 73, 0x0000000000000020
2026/09/12 02:12:18.358, 4, 1, 0, 210, 405, 24.13, 36, 0x0000000000000001
2026/09/12 02:12:18.359, 5, 1, 0, 210, 405, 22.18, 36, 0x0000000000000001
2026/09/12 02:12:18.859, 0, 1, 0, 210, 405, 22.44, 36, 0x0000000000000001
2026/09/12 02:12:18.859, 1, 4, 0, 210, 405, 19.37, 38, 0x0000000000000001
2026/09/12 02:12:18.859, 2, 1, 0, 210, 405, 21.39, 36, 0x0000000000000001
